subscription_month,mrr,paying_users,previous_month_mrr,growth_percentage
2023-04,160,5,NULL,NULL
2023-05,990,24,160,518.75
2023-06,2270,56,990,129.29
2023-07,3310,79,2270,45.81
2023-08,3880,95,3310,17.22
2023-09,4650,108,3880,19.85
2023-10,5800,131,4650,24.73
2023-11,7110,163,5800,22.59
2023-12,7960,184,7110,11.95
2024-01,8510,196,7960,6.91
2024-02,8740,206,8510,2.70
2024-03,9710,229,8740,11.10
2024-04,9800,239,9710,0.93
2024-05,9720,240,9800,-0.82
2024-06,10820,262,9720,11.32
2024-07,11130,266,10820,2.87
2024-08,11800,278,11130,6.02
2024-09,12810,302,11800,8.56
2024-10,13310,312,12810,3.90
2024-11,13730,321,13310,3.16
2024-12,13880,321,13730,1.09
2025-01,14190,331,13880,2.23
2025-02,14380,337,14190,1.34
2025-03,14600,346,14380,1.53
2025-04,11600,270,14600,-20.55
