cohort_month,total_users,month_number,active_user,retention_percentage
202304,13,NULL,8,61.54
202304,13,0,5,38.46
202304,13,1,5,38.46
202304,13,2,5,38.46
202304,13,3,4,30.77
202304,13,4,4,30.77
202304,13,5,4,30.77
202304,13,6,3,23.08
202304,13,7,3,23.08
202304,13,8,3,23.08
202304,13,9,3,23.08
202304,13,10,3,23.08
202304,13,11,3,23.08
202304,13,12,3,23.08
202304,13,13,2,15.38
202304,13,14,2,15.38
202305,35,NULL,15,42.86
202305,35,0,20,57.14
202305,35,1,19,54.29
202305,35,2,18,51.43
202305,35,3,16,45.71
202305,35,4,16,45.71
202305,35,5,15,42.86
202305,35,6,14,40.00
202305,35,7,14,40.00
202305,35,8,12,34.29
202305,35,9,11,31.43
202305,35,10,8,22.86
202305,35,11,8,22.86
202305,35,12,8,22.86
202305,35,13,8,22.86
202305,35,14,7,20.00
202305,35,15,7,20.00
202305,35,16,7,20.00
202305,35,17,6,17.14
202305,35,18,5,14.29
202305,35,19,3,8.57
202305,35,20,2,5.71
202305,35,21,2,5.71
202305,35,22,2,5.71
202305,35,23,1,2.86
202306,49,NULL,17,34.69
202306,49,0,32,65.31
202306,49,1,32,65.31
202306,49,2,28,57.14
202306,49,3,25,51.02
202306,49,4,23,46.94
202306,49,5,21,42.86
202306,49,6,21,42.86
202306,49,7,21,42.86
202306,49,8,18,36.73
202306,49,9,18,36.73
202306,49,10,17,34.69
202306,49,11,12,24.49
202306,49,12,11,22.45
202306,49,13,10,20.41
202306,49,14,10,20.41
202306,49,15,10,20.41
202306,49,16,9,18.37
202306,49,17,7,14.29
202306,49,18,5,10.20
202306,49,19,4,8.16
202306,49,20,4,8.16
202306,49,21,3,6.12
202306,49,22,3,6.12
202307,42,NULL,15,35.71
202307,42,0,27,64.29
202307,42,1,26,61.90
202307,42,2,25,59.52
202307,42,3,24,57.14
202307,42,4,21,50.00
202307,42,5,21,50.00
202307,42,6,21,50.00
202307,42,7,18,42.86
202307,42,8,18,42.86
202307,42,9,14,33.33
202307,42,10,14,33.33
202307,42,11,13,30.95
202307,42,12,13,30.95
202307,42,13,13,30.95
202307,42,14,12,28.57
202307,42,15,12,28.57
202307,42,16,12,28.57
202307,42,17,12,28.57
202307,42,18,10,23.81
202307,42,19,9,21.43
202307,42,20,6,14.29
202307,42,21,3,7.14
202308,42,NULL,21,50.00
202308,42,0,21,50.00
202308,42,1,21,50.00
202308,42,2,20,47.62
202308,42,3,20,47.62
202308,42,4,19,45.24
202308,42,5,18,42.86
202308,42,6,16,38.10
202308,42,7,14,33.33
202308,42,8,13,30.95
202308,42,9,13,30.95
202308,42,10,12,28.57
202308,42,11,9,21.43
202308,42,12,8,19.05
202308,42,13,6,14.29
202308,42,14,5,11.90
202308,42,15,5,11.90
202308,42,16,4,9.52
202308,42,17,4,9.52
202308,42,18,4,9.52
202308,42,19,4,9.52
202308,42,20,3,7.14
202309,30,NULL,12,40.00
202309,30,0,18,60.00
202309,30,1,17,56.67
202309,30,2,17,56.67
202309,30,3,17,56.67
202309,30,4,17,56.67
202309,30,5,15,50.00
202309,30,6,15,50.00
202309,30,7,15,50.00
202309,30,8,14,46.67
202309,30,9,14,46.67
202309,30,10,14,46.67
202309,30,11,13,43.33
202309,30,12,13,43.33
202309,30,13,12,40.00
202309,30,14,11,36.67
202309,30,15,8,26.67
202309,30,16,8,26.67
202309,30,17,8,26.67
202309,30,18,8,26.67
202309,30,19,2,6.67
202310,55,NULL,24,43.64
202310,55,0,31,56.36
202310,55,1,31,56.36
202310,55,2,29,52.73
202310,55,3,27,49.09
202310,55,4,25,45.45
202310,55,5,24,43.64
202310,55,6,23,41.82
202310,55,7,20,36.36
202310,55,8,17,30.91
202310,55,9,14,25.45
202310,55,10,14,25.45
202310,55,11,14,25.45
202310,55,12,13,23.64
202310,55,13,13,23.64
202310,55,14,11,20.00
202310,55,15,11,20.00
202310,55,16,11,20.00
202310,55,17,10,18.18
202310,55,18,8,14.55
202311,53,NULL,15,28.30
202311,53,0,38,71.70
202311,53,1,36,67.92
202311,53,2,35,66.04
202311,53,3,34,64.15
202311,53,4,32,60.38
202311,53,5,30,56.60
202311,53,6,29,54.72
202311,53,7,28,52.83
