user_id,plan_id,subscription_date,status,monthly_revenue_usd
1,1,2024-08-31,Active,0
1,1,2024-09-30,Active,0
1,1,2024-10-31,Active,0
1,1,2024-11-30,Active,0
1,1,2024-12-31,Active,0
1,1,2025-01-31,Active,0
1,1,2025-02-28,Active,0
1,1,2025-03-31,Active,0
2,2,2023-07-18,Active,20
2,2,2023-08-18,Active,20
2,2,2023-09-18,Active,20
2,2,2023-10-18,Active,20
3,1,2023-05-12,Active,0
4,3,2024-11-18,Active,50
4,3,2024-12-18,Active,50
4,3,2025-01-18,Active,50
4,3,2025-02-18,Active,50
4,3,2025-03-18,Active,50
4,3,2025-04-18,Active,50
5,2,2023-11-22,Active,20
5,2,2023-12-22,Active,20
5,2,2024-01-22,Active,20
5,2,2024-02-22,Active,20
5,2,2024-03-22,Active,20
5,2,2024-04-22,Active,20
5,2,2024-05-22,Active,20
5,2,2024-06-22,Active,20
5,2,2024-07-22,Cancelled,20
6,1,2023-10-30,Active,0
6,1,2023-11-30,Active,0
6,1,2023-12-30,Active,0
6,1,2024-01-30,Active,0
6,1,2024-02-29,Active,0
6,1,2024-03-30,Active,0
6,1,2024-04-30,Active,0
6,1,2024-05-30,Active,0
7,2,2023-10-13,Active,20
7,2,2023-11-13,Active,20
7,2,2023-12-13,Active,20
7,2,2024-01-13,Active,20
7,2,2024-02-13,Active,20
7,2,2024-03-13,Active,20
7,2,2024-04-13,Active,20
7,2,2024-05-13,Active,20
8,2,2023-08-09,Active,20
8,2,2023-09-09,Active,20
8,2,2023-10-09,Active,20
8,2,2023-11-09,Active,20
8,2,2023-12-09,Active,20
9,1,2024-11-15,Active,0
9,1,2024-12-15,Active,0
9,1,2025-01-15,Active,0
9,1,2025-02-15,Active,0
9,1,2025-03-15,Active,0
9,1,2025-04-15,Active,0
10,4,2023-07-11,Active,100
10,4,2023-08-11,Active,100
10,4,2023-09-11,Active,100
10,4,2023-10-11,Cancelled,100
11,4,2024-09-29,Active,100
11,4,2024-10-29,Active,100
11,4,2024-11-29,Active,100
11,4,2024-12-29,Active,100
11,4,2025-01-29,Active,100
11,4,2025-02-28,Active,100
11,4,2025-03-29,Active,100
12,2,2024-11-18,Active,20
12,2,2024-12-18,Active,20
12,2,2025-01-18,Active,20
12,2,2025-02-18,Active,20
12,2,2025-03-18,Active,20
12,2,2025-04-18,Active,20
13,1,2025-03-15,Active,0
13,1,2025-04-15,Active,0
14,3,2024-06-19,Active,50
14,3,2024-07-19,Active,50
14,3,2024-08-19,Active,50
15,2,2023-06-29,Active,20
15,2,2023-07-29,Active,20
15,2,2023-08-29,Active,20
15,2,2023-09-29,Active,20
15,2,2023-10-29,Active,20
15,2,2023-11-29,Active,20
15,2,2023-12-29,Active,20
15,2,2024-01-29,Active,20
15,2,2024-02-29,Active,20
15,2,2024-03-29,Active,20
15,2,2024-04-29,Active,20
15,2,2024-05-29,Active,20
15,2,2024-06-29,Active,20
15,2,2024-07-29,Active,20
15,2,2024-08-29,Active,20
15,2,2024-09-29,Active,20
15,2,2024-10-29,Active,20
15,2,2024-11-29,Active,20
15,2,2024-12-29,Cancelled,20
16,1,2024-07-24,Active,0
16,1,2024-08-24,Active,0
16,1,2024-09-24,Active,0
16,1,2024-10-24,Active,0
16,1,2024-11-24,Active,0
16,1,2024-12-24,Active,0
16,1,2025-01-24,Active,0
16,1,2025-02-24,Active,0
16,1,2025-03-24,Active,0
